hasLoan,hasCreditCard,currentBalance,loanPendingMonths,creditCardLimit,creditCardUsed,creditCardOverduePayment,score,classification
0,1,-1225,0,2680,1190,0,350,C
1,1,871,34,2305,1529,0,300,C
1,0,1265,33,0,0,0,350,C
1,1,5293,23,910,528,0,300,C
0,1,5336,0,2297,1352,0,450,B
0,0,4227,0,0,0,0,500,A
0,0,912,0,0,0,0,500,A
0,0,7730,0,0,0,0,500,A
0,0,2318,0,0,0,0,500,A
0,1,372,0,253,50,1,300,C
0,1,9090,0,768,708,0,450,B
0,1,5048,0,1226,589,0,450,B
1,0,9020,23,0,0,0,350,C
1,1,5676,20,1190,534,0,300,C
0,1,4089,0,553,254,1,300,C
1,1,9659,21,487,478,0,300,C
1,0,5320,21,0,0,0,350,C
1,1,7373,32,2601,2403,0,300,C
0,0,-1256,0,0,0,0,400,B
0,1,4059,0,492,187,1,300,C
1,0,8423,3,0,0,0,400,B
0,1,3926,0,1700,1302,1,300,C
0,1,-204,0,607,254,1,150,E
0,1,-481,0,840,490,0,300,C
0,0,7714,0,0,0,0,500,A
1,0,3406,21,0,0,0,350,C
0,1,873,0,2201,583,1,300,C
0,1,4831,0,2611,308,0,450,B
0,1,7559,0,2024,450,1,300,C
1,1,807,13,2120,938,1,150,E
0,1,-176,0,436,230,0,300,C
1,1,1994,32,3349,1110,0,300,C
0,0,3731,0,0,0,0,500,A
1,0,3392,18,0,0,0,350,C
0,0,2362,0,0,0,0,500,A
0,0,6661,0,0,0,0,500,A
1,0,5008,20,0,0,0,350,C
1,0,2137,36,0,0,0,350,C
0,1,8544,0,1023,1010,0,450,B
1,0,15,23,0,0,0,350,C
0,0,3572,0,0,0,0,500,A
1,1,5203,8,1800,942,0,350,C
0,0,5055,0,0,0,0,500,A
1,0,-1091,28,0,0,0,250,D
1,0,7176,24,0,0,0,350,C
1,0,5907,31,0,0,0,350,C
0,1,6989,0,1332,430,1,300,C
0,0,1978,0,0,0,0,500,A
0,1,-510,0,2956,2829,0,300,C
1,1,1610,34,135,62,0,300,C
0,0,5274,0,0,0,0,500,A
0,0,3768,0,0,0,0,500,A
0,0,2849,0,0,0,0,500,A
1,0,8719,32,0,0,0,350,C
1,1,4740,21,1885,137,0,300,C
1,0,3284,36,0,0,0,350,C
0,0,3761,0,0,0,0,500,A
0,1,1290,0,67,11,0,450,B
1,1,2010,14,1387,588,1,150,E
1,0,-1424,5,0,0,0,300,C
1,0,2067,14,0,0,0,350,C
1,1,7322,5,311,271,0,350,C
0,0,7778,0,0,0,0,500,A
1,0,6874,26,0,0,0,350,C
1,0,-537,18,0,0,0,250,D
0,0,2694,0,0,0,0,500,A
0,1,-972,0,45,41,0,300,C
0,0,5828,0,0,0,0,500,A
0,0,3978,0,0,0,0,500,A
0,1,9798,0,444,295,1,300,C
0,1,8122,0,941,154,1,300,C
1,0,3262,32,0,0,0,350,C
1,1,5501,22,311,41,1,150,E
1,1,4069,31,2678,1909,0,300,C
1,0,5475,17,0,0,0,350,C
1,0,1805,16,0,0,0,350,C
0,0,7492,0,0,0,0,500,A
1,1,3150,32,1284,822,1,150,E
1,0,4743,3,0,0,0,400,B
1,1,990,17,667,366,0,300,C
0,1,2175,0,2989,2970,1,250,D
0,0,6501,0,0,0,0,500,A
0,0,-1461,0,0,0,0,400,B
0,1,2711,0,1066,1042,0,450,B
0,0,1301,0,0,0,0,500,A
1,1,-1140,19,579,435,1,0,F
0,0,-1954,0,0,0,0,400,B
1,0,5962,15,0,0,0,350,C
0,1,1291,0,1649,692,1,300,C
0,0,4859,0,0,0,0,500,A
1,1,2161,17,1527,1038,1,150,E
0,0,9841,0,0,0,0,500,A
0,0,4904,0,0,0,0,500,A
1,1,8430,18,2807,1071,0,300,C
0,0,8807,0,0,0,0,500,A
1,1,9266,2,1786,1427,1,200,D
0,0,7556,0,0,0,0,500,A
0,1,6743,0,297,249,1,300,C
1,0,8181,22,0,0,0,350,C
1,1,-1769,7,1715,1613,1,50,F
0,0,3348,0,0,0,0,500,A
0,1,807,0,2003,140,0,450,B
1,0,9149,24,0,0,0,350,C
1,1,2697,34,441,228,0,300,C
0,0,6457,0,0,0,0,500,A
1,0,4882,15,0,0,0,350,C
0,0,-616,0,0,0,0,400,B
1,0,9050,22,0,0,0,350,C
1,0,3845,24,0,0,0,350,C
1,1,7570,36,2949,515,1,150,E
0,1,9765,0,2924,491,1,300,C
1,0,-1706,13,0,0,0,250,D
0,0,9554,0,0,0,0,500,A
0,0,256,0,0,0,0,500,A
1,1,9444,9,1575,1330,0,350,C
1,1,5628,7,369,352,1,200,D
1,0,8449,32,0,0,0,350,C
0,0,2143,0,0,0,0,500,A
1,1,-1689,26,1888,1335,1,50,F
1,0,221,32,0,0,0,350,C
0,1,4557,0,1117,1040,1,300,C
1,1,7327,10,1945,1764,0,350,C
0,1,2050,0,788,575,0,450,B
0,1,9834,0,2656,819,1,300,C
1,0,5534,16,0,0,0,350,C
1,0,801,28,0,0,0,350,C
1,0,5677,36,0,0,0,350,C
1,0,9819,3,0,0,0,400,B
0,1,1401,0,2229,2123,1,250,D
0,1,2538,0,923,270,0,450,B
1,0,2436,15,0,0,0,350,C
0,1,2108,0,1292,259,0,450,B
0,0,2749,0,0,0,0,500,A
1,1,787,27,1893,48,1,150,E
1,1,3673,31,2577,1462,0,300,C
0,0,-1871,0,0,0,0,400,B
1,1,1986,6,2165,144,0,350,C
0,0,2733,0,0,0,0,500,A
1,1,5023,13,2266,1492,0,300,C
0,0,5339,0,0,0,0,500,A
1,0,563,36,0,0,0,350,C
1,1,9839,1,432,218,0,350,C
0,1,4806,0,1098,942,0,450,B
0,1,2948,0,2061,1875,0,400,B
0,1,3745,0,2252,961,1,300,C
1,0,1724,13,0,0,0,350,C
0,0,-1156,0,0,0,0,400,B
0,0,-408,0,0,0,0,400,B
0,0,127,0,0,0,0,500,A
0,0,6614,0,0,0,0,500,A
0,1,4036,0,2923,848,0,450,B
0,1,7271,0,2622,1230,1,300,C
1,1,-1749,36,1515,1410,1,0,F
1,1,6966,25,1405,473,1,150,E
1,1,-1832,16,1739,180,0,200,D
1,0,5885,23,0,0,0,350,C
0,1,-473,0,2176,1126,1,200,D
0,0,980,0,0,0,0,500,A
0,1,7096,0,2209,979,1,300,C
1,0,8583,32,0,0,0,350,C
0,0,4034,0,0,0,0,500,A
1,1,9060,14,1786,1096,1,150,E
0,0,4121,0,0,0,0,500,A
1,0,1219,1,0,0,0,400,B
1,0,3600,21,0,0,0,350,C
1,1,8134,35,1425,1384,0,300,C
1,0,9026,32,0,0,0,350,C
1,0,1904,27,0,0,0,350,C
0,1,-1657,0,1598,1146,0,300,C
1,0,9085,28,0,0,0,350,C
0,1,9528,0,922,735,1,300,C
1,1,3825,21,2976,1075,0,300,C
1,1,9543,11,1243,181,0,350,C
0,0,620,0,0,0,0,500,A
0,1,2334,0,1438,258,1,300,C
1,0,9004,17,0,0,0,350,C
1,0,401,20,0,0,0,350,C
1,1,6592,9,2475,815,1,200,D
1,1,4586,19,2098,1453,0,300,C
1,1,6298,30,3011,174,0,300,C
1,0,190,14,0,0,0,350,C
0,1,-1921,0,750,252,0,300,C
0,0,1516,0,0,0,0,500,A
1,1,2036,31,3456,3056,1,100,E
1,1,2970,33,763,329,1,150,E
0,1,3205,0,1339,986,1,300,C
0,1,2684,0,285,78,1,300,C
1,0,98,31,0,0,0,350,C
0,0,179,0,0,0,0,500,A
0,1,-1726,0,1561,67,1,200,D
0,0,-232,0,0,0,0,400,B
0,1,2135,0,51,36,1,300,C
0,0,155,0,0,0,0,500,A
1,0,9341,35,0,0,0,350,C
1,0,2912,27,0,0,0,350,C
0,0,5879,0,0,0,0,500,A
1,0,5252,3,0,0,0,400,B
1,1,4002,9,290,123,1,200,D
1,1,-198,17,669,535,1,0,F
0,1,1286,0,1421,1069,0,400,B
1,1,6437,26,2662,1219,1,150,E
1,0,7870,22,0,0,0,350,C
1,1,2293,10,696,246,1,200,D
0,1,7614,0,3235,934,1,300,C
0,0,4175,0,0,0,0,500,A
0,0,3613,0,0,0,0,500,A
1,0,8822,6,0,0,0,400,B
1,0,7488,15,0,0,0,350,C
1,1,1670,33,2343,678,0,300,C
1,0,8227,30,0,0,0,350,C
0,1,523,0,436,96,0,450,B
1,0,961,22,0,0,0,350,C
1,1,7336,21,2076,311,1,150,E
1,0,7611,4,0,0,0,400,B
1,1,8658,36,2138,1466,1,150,E
1,0,-1213,22,0,0,0,250,D
0,0,4672,0,0,0,0,500,A
1,0,6066,3,0,0,0,400,B
0,0,9709,0,0,0,0,500,A
1,0,5995,32,0,0,0,350,C
0,0,1306,0,0,0,0,500,A
0,1,9836,0,1400,264,0,450,B
1,0,261,33,0,0,0,350,C
1,1,-1446,2,1323,1109,1,50,F
0,0,5029,0,0,0,0,500,A
1,1,9547,21,1111,679,1,150,E
1,0,4980,7,0,0,0,400,B
0,1,-994,0,3367,1466,0,350,C
0,0,6850,0,0,0,0,500,A
1,0,367,26,0,0,0,350,C
0,1,4381,0,3264,1728,1,300,C
1,0,4219,14,0,0,0,350,C
1,1,9333,5,2693,2434,1,200,D
0,1,-635,0,3173,972,1,200,D
0,1,-489,0,1457,328,0,350,C
1,0,5794,4,0,0,0,400,B
1,1,3797,12,1451,204,0,350,C
1,0,8516,34,0,0,0,350,C
1,0,8332,16,0,0,0,350,C
0,1,4421,0,3482,404,0,450,B
1,1,-1110,23,2380,1239,1,50,F
0,1,4423,0,2521,918,0,450,B
0,1,2711,0,1677,623,0,450,B
1,0,2487,26,0,0,0,350,C
1,0,4535,3,0,0,0,400,B
0,0,9632,0,0,0,0,500,A
0,1,8588,0,1875,1865,1,300,C
1,1,1466,21,1685,755,0,300,C
0,0,-486,0,0,0,0,400,B
0,0,1516,0,0,0,0,500,A
0,0,9408,0,0,0,0,500,A
1,1,6437,25,2659,15,1,150,E
0,1,8391,0,1012,477,0,450,B
1,0,1611,10,0,0,0,400,B
0,1,-1941,0,2316,1563,0,350,C
1,1,7044,9,1059,542,1,200,D
1,0,-657,36,0,0,0,250,D
1,1,321,10,794,717,0,300,C
1,0,1742,18,0,0,0,350,C
0,0,2946,0,0,0,0,500,A
0,0,4326,0,0,0,0,500,A
1,1,5798,30,3011,2919,1,100,E
0,1,-1153,0,556,223,1,150,E
0,1,4214,0,115,8,1,300,C
1,0,2743,7,0,0,0,400,B
0,1,3614,0,2722,523,1,300,C
0,1,3161,0,513,171,0,450,B
1,0,6630,14,0,0,0,350,C
1,0,6632,10,0,0,0,400,B
1,1,8897,30,1641,1227,1,150,E
0,0,5067,0,0,0,0,500,A
0,1,8672,0,384,223,0,450,B
0,0,125,0,0,0,0,500,A
1,0,4226,18,0,0,0,350,C
0,1,9837,0,207,92,1,300,C
0,0,-1281,0,0,0,0,400,B
0,0,3779,0,0,0,0,500,A
0,1,-1254,0,3245,2708,1,200,D
0,1,3756,0,2781,1688,1,300,C
0,0,2918,0,0,0,0,500,A
0,1,1784,0,2075,294,0,450,B
1,1,1635,18,1668,629,0,300,C
0,1,2547,0,2627,1470,0,450,B
0,0,8923,0,0,0,0,500,A
1,1,297,19,468,52,0,300,C
0,1,8404,0,2130,628,0,450,B
1,1,6529,25,254,245,1,150,E
1,0,2899,29,0,0,0,350,C
1,0,-1129,35,0,0,0,250,D
0,1,-1742,0,884,198,0,350,C
1,1,9599,31,45,6,1,150,E
0,1,760,0,3155,1037,0,450,B
0,0,4906,0,0,0,0,500,A
0,0,7591,0,0,0,0,500,A
1,0,1474,24,0,0,0,350,C
1,1,6578,13,1909,612,1,150,E
1,1,-1149,29,2600,938,1,50,F
1,0,-1724,29,0,0,0,250,D
1,1,2524,36,1232,1137,1,150,E
0,1,-1792,0,1677,1119,0,350,C
0,0,3085,0,0,0,0,500,A
0,1,9165,0,170,98,0,450,B
0,1,4641,0,3387,1013,0,450,B
0,0,9205,0,0,0,0,500,A
0,0,4247,0,0,0,0,500,A
0,0,2663,0,0,0,0,500,A
0,1,5536,0,309,186,0,450,B
1,1,6832,20,3005,2986,1,150,E
0,0,-482,0,0,0,0,400,B
0,0,399,0,0,0,0,500,A
1,1,3235,15,168,166,1,150,E
1,1,983,9,1950,969,1,200,D
1,1,9623,25,1664,138,0,300,C
0,1,4523,0,3475,2422,0,450,B
1,1,8372,30,1159,610,0,300,C
0,1,8429,0,2530,2367,1,300,C
1,0,8586,20,0,0,0,350,C
1,0,9030,33,0,0,0,350,C
1,1,4442,19,2677,1219,1,150,E
0,0,784,0,0,0,0,500,A
0,0,5943,0,0,0,0,500,A
1,1,1351,9,523,78,0,350,C
1,1,8543,11,594,400,1,200,D
0,1,5407,0,2049,1770,0,450,B
0,0,-805,0,0,0,0,400,B
1,1,1314,5,263,97,0,350,C
1,1,-92,7,2064,371,1,100,E
1,1,6924,14,3472,1249,1,150,E
0,0,4122,0,0,0,0,500,A
1,1,2257,34,2768,1384,1,150,E
0,0,7553,0,0,0,0,500,A
0,1,7428,0,2549,1276,1,300,C
1,1,-496,34,2098,1424,1,50,F
0,0,7135,0,0,0,0,500,A
0,1,9735,0,1240,430,0,450,B
0,0,5051,0,0,0,0,500,A
0,0,7062,0,0,0,0,500,A
1,1,6298,28,2153,1724,0,300,C
1,0,1406,4,0,0,0,400,B
0,0,2200,0,0,0,0,500,A
1,0,-984,15,0,0,0,250,D
1,0,6533,16,0,0,0,350,C
1,0,-1749,14,0,0,0,250,D
0,1,7618,0,2482,2364,0,450,B
0,0,9695,0,0,0,0,500,A
0,1,9269,0,2711,1962,0,450,B
0,1,3100,0,1068,378,0,450,B
1,0,3072,13,0,0,0,350,C
0,1,-1447,0,706,698,1,150,E
1,0,3556,29,0,0,0,350,C
1,1,7321,14,1413,1353,0,300,C
1,1,7347,8,1270,760,0,350,C
0,1,8220,0,3274,430,0,450,B
1,0,9399,33,0,0,0,350,C
1,1,-1911,7,1833,1512,1,50,F
1,0,-1056,15,0,0,0,250,D
1,1,9412,25,200,40,1,150,E
0,1,-1946,0,3463,178,1,200,D
0,1,410,0,3456,241,0,450,B
0,0,9307,0,0,0,0,500,A
1,0,1759,34,0,0,0,350,C
1,1,3468,26,722,678,1,150,E
0,1,2706,0,3281,431,0,450,B
1,0,7182,13,0,0,0,350,C
1,0,3880,27,0,0,0,350,C
1,0,9948,33,0,0,0,350,C
0,0,6608,0,0,0,0,500,A
1,1,5125,33,2416,303,0,300,C
1,1,3182,23,1478,128,0,300,C
0,0,-1943,0,0,0,0,400,B
1,1,4809,24,1335,1235,0,300,C
1,1,6787,20,727,87,1,150,E
1,0,7800,24,0,0,0,350,C
1,0,9842,30,0,0,0,350,C
1,1,3875,13,2341,2070,1,100,E
1,0,7442,25,0,0,0,350,C
0,0,8350,0,0,0,0,500,A
0,1,-340,0,184,134,0,300,C
0,1,5058,0,3248,1631,0,450,B
1,0,2038,22,0,0,0,350,C
0,1,8751,0,40,24,0,450,B
0,0,921,0,0,0,0,500,A
0,1,2495,0,3222,2374,0,450,B
1,1,7430,12,2693,485,0,350,C
0,1,-801,0,777,13,1,200,D
1,0,8157,22,0,0,0,350,C
0,0,8758,0,0,0,0,500,A
1,1,7527,2,1257,64,1,200,D
0,0,-1206,0,0,0,0,400,B
0,0,9981,0,0,0,0,500,A
1,0,3283,26,0,0,0,350,C
0,1,7741,0,758,457,1,300,C
0,0,8744,0,0,0,0,500,A
0,0,424,0,0,0,0,500,A
0,0,3129,0,0,0,0,500,A
0,1,8569,0,1670,259,0,450,B
0,0,5878,0,0,0,0,500,A
0,1,9535,0,875,293,1,300,C
0,0,-1106,0,0,0,0,400,B
1,1,8043,13,1733,1060,0,300,C
1,0,-1586,19,0,0,0,250,D
0,1,8022,0,3097,1244,0,450,B
0,1,8547,0,2001,52,0,450,B
0,0,8633,0,0,0,0,500,A
1,1,6122,10,2495,855,1,200,D
1,0,7658,21,0,0,0,350,C
0,0,5700,0,0,0,0,500,A
0,0,-55,0,0,0,0,400,B
0,1,1083,0,2651,1008,0,450,B
0,0,6358,0,0,0,0,500,A
0,0,7826,0,0,0,0,500,A
1,0,9716,6,0,0,0,400,B
1,1,5621,6,1328,650,0,350,C
1,1,-1327,33,2473,1775,1,50,F
1,1,5793,12,1923,110,1,200,D
0,1,-997,0,2242,497,1,200,D
1,0,4653,20,0,0,0,350,C
0,0,1273,0,0,0,0,500,A
0,1,1569,0,3483,1180,1,300,C
0,0,1195,0,0,0,0,500,A
0,0,-824,0,0,0,0,400,B
1,1,-854,36,2339,1513,1,50,F
0,0,5096,0,0,0,0,500,A
0,0,9839,0,0,0,0,500,A
1,1,-1424,1,753,117,0,250,D
0,0,795,0,0,0,0,500,A
0,0,2507,0,0,0,0,500,A
0,0,5935,0,0,0,0,500,A
1,1,1764,19,2502,1760,1,150,E
0,0,-481,0,0,0,0,400,B
0,1,5590,0,2312,1417,0,450,B
0,1,-752,0,1285,961,0,300,C
1,0,-1262,31,0,0,0,250,D
0,0,3595,0,0,0,0,500,A
0,0,-659,0,0,0,0,400,B
0,1,2848,0,33,8,1,300,C
0,1,9714,0,2472,665,1,300,C
0,0,5171,0,0,0,0,500,A
1,0,8043,25,0,0,0,350,C
1,1,6722,34,3237,2814,0,300,C
0,1,3719,0,2527,1515,0,450,B
1,0,5676,30,0,0,0,350,C
0,0,6942,0,0,0,0,500,A
0,0,1330,0,0,0,0,500,A
1,0,5998,24,0,0,0,350,C
0,1,6406,0,2215,1927,0,450,B
1,0,905,13,0,0,0,350,C
1,1,3534,27,212,114,0,300,C
0,0,3968,0,0,0,0,500,A
1,1,4239,20,350,118,1,150,E
1,1,4714,36,2423,2101,0,300,C
1,1,1021,7,2821,1405,1,200,D
1,1,8435,15,2062,908,1,150,E
0,1,7618,0,2027,212,0,450,B
0,1,2426,0,1852,257,0,450,B
0,1,-219,0,79,58,0,300,C
1,0,4026,30,0,0,0,350,C
1,0,2012,32,0,0,0,350,C
0,0,2365,0,0,0,0,500,A
0,0,9916,0,0,0,0,500,A
1,0,7032,29,0,0,0,350,C
1,1,719,33,2828,1384,1,150,E
1,1,-722,2,1729,1360,1,50,F
1,0,2570,28,0,0,0,350,C
1,0,9221,27,0,0,0,350,C
1,0,4068,22,0,0,0,350,C
0,1,4374,0,3047,534,1,300,C
0,1,3883,0,1254,1058,0,450,B
0,0,5547,0,0,0,0,500,A
0,1,8900,0,1865,1151,0,450,B
1,0,4652,12,0,0,0,400,B
0,0,1354,0,0,0,0,500,A
0,1,-1038,0,1800,1338,1,150,E
1,0,-574,7,0,0,0,300,C
0,1,5477,0,1045,751,1,300,C
0,0,3745,0,0,0,0,500,A
1,1,1595,19,1962,657,0,300,C
0,1,2540,0,1338,48,0,450,B
1,1,8238,30,3435,423,1,150,E
1,0,9540,21,0,0,0,350,C
1,1,9672,19,932,428,1,150,E
0,1,1869,0,3127,2947,1,250,D
0,0,5434,0,0,0,0,500,A
1,1,5850,16,129,62,0,300,C
0,1,2706,0,1416,832,0,450,B
1,1,8930,20,2647,680,1,150,E
1,0,-580,11,0,0,0,300,C
1,1,2885,33,2961,1762,0,300,C
0,1,7066,0,530,263,0,450,B
0,0,1881,0,0,0,0,500,A
0,0,9153,0,0,0,0,500,A
1,1,6454,13,1348,1094,1,150,E
0,0,-65,0,0,0,0,400,B
0,1,-1388,0,2897,2204,1,200,D
1,0,-1914,5,0,0,0,300,C
1,0,7742,11,0,0,0,400,B
0,0,4710,0,0,0,0,500,A
0,1,4936,0,627,73,0,450,B
0,0,-461,0,0,0,0,400,B
0,0,-1866,0,0,0,0,400,B
0,1,5755,0,3026,674,1,300,C
1,1,7338,15,2512,434,1,150,E
1,0,4657,26,0,0,0,350,C
0,1,2795,0,1318,779,0,450,B
0,1,7202,0,2974,1639,0,450,B
0,1,-452,0,492,112,1,150,E
0,0,6811,0,0,0,0,500,A
0,1,9074,0,3245,1150,0,450,B
1,1,6729,17,361,205,0,300,C
1,1,926,24,828,3,0,300,C
1,1,-192,30,2359,527,0,200,D
1,0,4161,32,0,0,0,350,C
0,1,-1123,0,1960,95,0,350,C
1,0,2219,11,0,0,0,400,B
0,0,6313,0,0,0,0,500,A
0,1,2638,0,3038,88,0,450,B
1,0,2433,32,0,0,0,350,C
0,0,33,0,0,0,0,500,A
0,0,630,0,0,0,0,500,A
0,1,7515,0,1200,366,0,450,B
0,0,-908,0,0,0,0,400,B
1,0,-1099,16,0,0,0,250,D
0,1,6557,0,3173,1563,1,300,C
1,1,4777,30,2730,1613,0,300,C
1,1,4400,31,1928,131,0,300,C
0,1,-505,0,2822,2096,0,350,C
1,0,4306,24,0,0,0,350,C
0,1,-1694,0,886,129,1,200,D
0,0,2321,0,0,0,0,500,A
0,0,2863,0,0,0,0,500,A
1,0,7082,17,0,0,0,350,C
0,1,7649,0,2133,524,1,300,C
1,0,1740,9,0,0,0,400,B
1,1,7532,2,924,542,0,350,C
1,0,779,24,0,0,0,350,C
0,1,4905,0,2377,1931,1,300,C
1,0,-104,27,0,0,0,250,D
0,1,2588,0,3261,2286,1,300,C
1,1,2639,5,243,95,0,350,C
1,0,1705,23,0,0,0,350,C
0,0,388,0,0,0,0,500,A
0,1,4587,0,376,83,0,450,B
1,1,3034,13,527,11,0,300,C
1,0,6181,14,0,0,0,350,C
1,1,5359,30,3356,3304,0,250,D
1,1,-1969,32,1144,788,1,0,F
0,1,6709,0,3101,1214,0,450,B
0,1,796,0,365,8,0,450,B
0,0,5886,0,0,0,0,500,A
0,0,4525,0,0,0,0,500,A
0,1,-35,0,669,294,0,300,C
0,0,4951,0,0,0,0,500,A
1,0,4068,21,0,0,0,350,C
0,1,7363,0,846,748,1,300,C
0,1,8849,0,2739,470,1,300,C
1,1,3901,3,1385,907,1,200,D
0,1,6105,0,3068,1277,0,450,B
1,0,6484,33,0,0,0,350,C
0,0,8143,0,0,0,0,500,A
0,0,8900,0,0,0,0,500,A
1,0,3338,32,0,0,0,350,C
1,1,911,28,2791,2592,0,250,D
0,1,6697,0,1768,794,1,300,C
1,0,6361,27,0,0,0,350,C
0,0,8517,0,0,0,0,500,A
0,0,1216,0,0,0,0,500,A
1,0,5313,12,0,0,0,400,B
1,0,934,12,0,0,0,400,B
1,0,301,19,0,0,0,350,C
1,0,2542,13,0,0,0,350,C
0,1,6088,0,1922,1681,0,450,B
0,1,4219,0,2871,2060,1,300,C
0,0,6986,0,0,0,0,500,A
1,1,7755,5,1856,1059,0,350,C
0,1,2586,0,3101,2532,1,300,C
0,0,306,0,0,0,0,500,A
0,1,1222,0,2709,2636,1,250,D
1,0,7040,8,0,0,0,400,B
0,1,7707,0,3037,2097,1,300,C
1,1,-151,33,884,175,1,50,F
1,1,4770,22,2904,973,0,300,C
1,1,8754,20,2298,1584,1,150,E
0,0,7906,0,0,0,0,500,A
1,1,4135,17,1523,1010,1,150,E
1,1,8351,7,1029,8,1,200,D
1,1,7401,7,284,200,0,350,C
0,0,-1585,0,0,0,0,400,B
1,1,4466,4,2648,2007,0,350,C
0,1,9421,0,1888,527,0,450,B
1,0,1707,31,0,0,0,350,C
0,0,6155,0,0,0,0,500,A
0,0,6539,0,0,0,0,500,A
1,0,-923,21,0,0,0,250,D
0,0,1615,0,0,0,0,500,A
1,0,-770,16,0,0,0,250,D
0,1,8758,0,572,311,1,300,C
1,1,7017,18,180,133,0,300,C
0,0,9223,0,0,0,0,500,A
0,0,5641,0,0,0,0,500,A
0,1,-638,0,498,198,0,300,C
0,1,6799,0,1573,341,0,450,B
1,1,2458,2,1485,761,0,350,C
1,0,1246,6,0,0,0,400,B
0,1,568,0,2576,903,1,300,C
1,1,4996,2,849,744,0,350,C
0,1,-834,0,1050,14,0,350,C
0,0,9025,0,0,0,0,500,A
1,0,5605,28,0,0,0,350,C
1,0,4318,23,0,0,0,350,C
1,0,-307,17,0,0,0,250,D
1,0,-1980,31,0,0,0,250,D
0,0,1418,0,0,0,0,500,A
0,0,4694,0,0,0,0,500,A
0,0,269,0,0,0,0,500,A
1,1,5169,14,2483,529,0,300,C
1,0,-664,4,0,0,0,300,C
1,0,8368,20,0,0,0,350,C
0,0,-1650,0,0,0,0,400,B
1,0,6005,25,0,0,0,350,C
1,0,9890,14,0,0,0,350,C
0,1,6526,0,1686,1603,1,300,C
1,1,1643,4,2620,2325,0,300,C
0,0,8613,0,0,0,0,500,A
1,1,8913,16,185,140,0,300,C
0,1,5991,0,2697,2556,0,450,B
0,0,6714,0,0,0,0,500,A
1,1,9253,24,753,391,1,150,E
1,0,-495,27,0,0,0,250,D
1,1,-1569,32,1443,160,1,50,F
0,0,9434,0,0,0,0,500,A
1,0,-1025,25,0,0,0,250,D
0,0,8784,0,0,0,0,500,A
0,0,3085,0,0,0,0,500,A
1,1,7564,1,2751,982,1,200,D
0,0,-145,0,0,0,0,400,B
1,1,9530,14,2753,2219,1,150,E
0,1,6881,0,1821,136,0,450,B
1,0,7725,20,0,0,0,350,C
1,1,3191,13,1184,374,1,150,E
0,1,-1451,0,2848,2144,0,350,C
0,1,67,0,1619,1549,0,400,B
0,1,1036,0,3044,227,1,300,C
0,0,-71,0,0,0,0,400,B
1,1,2810,25,807,259,1,150,E
1,0,5610,11,0,0,0,400,B
0,1,707,0,3092,634,0,450,B
1,0,4240,4,0,0,0,400,B
1,0,-865,8,0,0,0,300,C
0,0,5464,0,0,0,0,500,A
1,1,3351,22,3151,1770,0,300,C
1,1,-933,15,1314,653,1,50,F
1,1,-322,6,2991,697,0,250,D
0,0,5912,0,0,0,0,500,A
1,1,4425,27,1204,208,1,150,E
0,0,1368,0,0,0,0,500,A
0,0,4167,0,0,0,0,500,A
1,1,9559,3,1462,348,1,200,D
0,0,3027,0,0,0,0,500,A
0,1,3301,0,3435,1278,1,300,C
1,1,1301,15,275,214,1,150,E
1,1,3536,8,874,388,0,350,C
0,1,3523,0,1421,48,1,300,C
0,0,7540,0,0,0,0,500,A
0,1,6243,0,2688,2163,1,300,C
1,1,9908,7,1871,894,0,350,C
1,1,8015,1,2211,97,1,200,D
1,1,7611,30,1045,338,1,150,E
1,0,1631,2,0,0,0,400,B
1,1,1702,7,115,7,1,200,D
1,0,3609,20,0,0,0,350,C
1,1,3756,25,1161,343,1,150,E
1,0,3067,11,0,0,0,400,B
0,1,9714,0,513,123,1,300,C
0,0,330,0,0,0,0,500,A
0,1,9569,0,2537,238,1,300,C
0,0,-1752,0,0,0,0,400,B
1,1,267,24,1945,638,0,300,C
1,0,-191,10,0,0,0,300,C
0,1,3825,0,2930,1377,0,450,B
0,1,9009,0,1868,1319,0,450,B
0,0,311,0,0,0,0,500,A
0,1,216,0,1965,444,0,450,B
1,0,7611,29,0,0,0,350,C
0,1,-458,0,2351,642,0,350,C
1,1,7917,15,2598,1166,1,150,E
1,0,6945,33,0,0,0,350,C
0,0,8648,0,0,0,0,500,A
1,1,8207,9,1420,549,1,200,D
0,0,317,0,0,0,0,500,A
0,1,1982,0,92,76,0,450,B
0,1,-78,0,3329,2888,1,150,E
1,1,4963,32,1715,723,1,150,E
1,1,2429,32,1508,182,1,150,E
0,0,1986,0,0,0,0,500,A
0,0,3927,0,0,0,0,500,A
1,0,2601,14,0,0,0,350,C
1,0,2377,2,0,0,0,400,B
1,1,-1347,33,1994,592,0,200,D
1,0,320,12,0,0,0,400,B
1,0,-1239,20,0,0,0,250,D
1,0,2717,22,0,0,0,350,C
1,0,3084,4,0,0,0,400,B
0,0,6085,0,0,0,0,500,A
1,1,-1627,30,137,31,0,150,E
1,1,9261,18,513,172,0,300,C
0,0,671,0,0,0,0,500,A
1,0,3798,4,0,0,0,400,B
0,0,7888,0,0,0,0,500,A
1,0,-1660,16,0,0,0,250,D
0,1,5357,0,644,623,0,450,B
1,0,773,1,0,0,0,400,B
0,1,6387,0,1120,36,0,450,B
0,1,-1592,0,374,230,1,150,E
